hanzi,tl,frequency,poj
七里香,tshit-lí-hiong,16,chhit-lí-hiong
三分目,sann-hun-ba̍k,16,saⁿ-hun-ba̍k
三分眼,sann-hun-gán,16,saⁿ-hun-gán
三角鱗,sann-kak-lân,16,saⁿ-kak-lân
三輪車,sann-lián-tshia,16,saⁿ-lián-chhia
三轉型,sam-tsuān-hîng,16,sam-choān-hêng
丹迪紙,tan-tik-tsuá,16,tan-tek-chóa
九芎仔,kiú-kiong-á,16,kiú-kiong-á
乾漆粉,kan-tshat-hún,16,kan-chhat-hún
二層座,jī-tsàn-tsō,16,jī-chàn-chō
二次胚,jī-tshù-phue,16,jī-chhù-phoe
五倍子,ngóo-puē-tsí,16,ngó͘-pōe-chí
五福花,ngóo-hok-hue,16,ngó͘-hok-hoe
交趾釉,kau-tsí-iu,16,kau-chí-iu
亭仔景,tîng-á-kíng,16,têng-á-kéng
人物堵,jîn-bu̍t-tóo,16,jîn-bu̍t-tó͘
人物旗,jîn-bu̍t-kî,16,jîn-bu̍t-kî
人面竹,lâng-bīn-tik,16,lâng-bīn-tek
保溫棉,pó-un-mî,16,pó-un-mî
保溫磚,pó-un-tsng,16,pó-un-chng
倒吊獅,tò-tiàu-sai,16,tò-tiàu-sai
倒角仔,tò-kak-á,16,tò-kak-á
備零件,pī-lîng-kiānn,16,pī-lêng-kiāⁿ
八仙綵,pat-sian-tshái,16,pat-sian-chhái
八卦窗,pat-kuà-thang,16,pat-kòa-thang
八字彈,peh-jī-tân,16,peh-jī-tân
八獅座,pat-sai-tsō,16,pat-sai-chō
公婆椅,kong-pô-í,16,kong-pô-í
公母榫,kang-bú-sún,16,kang-bú-sún
切割墊,tshiat-kuah-tiām,16,chhiat-koah-tiām
切管頭,tshiat-kóng-thâu,16,chhiat-kóng-thâu
切紙枋,tshiat-tsuá-pang,16,chhiat-chóa-pang
利利安,li-li-an,16,li-li-an
割紙刀,kuah-tsuá-to,16,koah-chóa-to
包喙口,pau-tshuì-kháu,16,pau-chhùi-kháu
包蒼布,pau-tshong-pòo,16,pau-chhong-pò͘
包頭巾,pau-thâu-kin,16,pau-thâu-kin
半堆剪,puànn-tui-tsián,16,pòaⁿ-tui-chián
半浮堵,puànn-phû-tóo,16,pòaⁿ-phû-tó͘
半金彩,puànn-kim-tshái,16,pòaⁿ-kim-chhái
厚殼仔,kāu-khak-á,16,kāu-khak-á
反手體,huán-tshiú-thé,16,hoán-chhiú-thé
古錢甲,kóo-tsînn-kah,16,kó͘-chîⁿ-kah
古體鱗,kóo-thé-lân,16,kó͘-thé-lân
和尚頭,huê-siūnn-thâu,16,hôe-siūⁿ-thâu
咸豐草,hâm-hong-tsháu,16,hâm-hong-chháu
四方竹,sù-hong-tik,16,sù-hong-tek
四點金,sì-tiám-kim,16,sì-tiám-kim
圓仔花,înn-á-hue,16,îⁿ-á-hoe
圓鑿仔,înn-tsha̍k-á,16,îⁿ-chha̍k-á
圓黜仔,înn-thuh-á,16,îⁿ-thuh-á
坐禪椅,tsē-siâm-í,16,chē-siâm-í
塑膠枋,sok-ka-pang,16,sok-ka-pang
塑膠𧉟,sok-ka-tâi,16,sok-ka-tâi
塔簽仔,thah-tshiam-á,16,thah-chhiam-á
塗剾仔,thôo-khau-á,16,thô͘-khau-á
塗抓仔,thôo-jiàu-á,16,thô͘-jiàu-á
塭仔砧,un-á-tiam,16,un-á-tiam
墜仔模,tuī-á-bôo,16,tūi-á-bô͘
壓枋染,ah-pang-ní,16,ah-pang-ní
壓頭仔,ah-thâu-á,16,ah-thâu-á
大木作,tuā-ba̍k-tsok,16,tōa-ba̍k-chok
大白釉,tuā-pe̍h-iu,16,tōa-pe̍h-iu
大菁粉,tuā-tshinn-hún,16,tōa-chhiⁿ-hún
太師椅,thài-su-í,16,thài-su-í
太魯刀,thài-lù-to,16,thài-lù-to
如意手,jû-ì-tshiú,16,jû-ì-chhiú
如意花,jû-ì-hue,16,jû-ì-hoe
娘絲布,niû-si-pòo,16,niû-si-pò͘
安金漆,an-kim-tshat,16,an-kim-chhat
實腹管,tsa̍t-pak-kóng,16,cha̍t-pak-kóng
寶石碭,pó-tsio̍h-thn̄g,16,pó-chio̍h-thn̄g
小冊櫃,sió-tsheh-kuì,16,sió-chheh-kùi
小葉桑,sió-hio̍h-song,16,sió-hio̍h-song
尤加利,iu-kha-lih,16,iu-kha-lih
尪仔頭,ang-á-thâu,16,ang-á-thâu
山棧花,suann-tsàn-hue,16,soaⁿ-chàn-hoe
山石仔,suann-tsio̍h-á,16,soaⁿ-chio̍h-á
工作台,kang-tsok-tâi,16,kang-chok-tâi
工作椅,kang-tsok-í,16,kang-chok-í
布輪機,pòo-lûn-ki,16,pò͘-lûn-ki
平剾仔,phînn-khau-á,16,phîⁿ-khau-á
平剾仔,pêng-khau-á,16,pêng-khau-á
平鑿仔,phînn-tsha̍k-á,16,phîⁿ-chha̍k-á
幼工棒,iù-kang-pāng,16,iù-kang-pāng
廟尪仔,biō-ang-á,16,biō-ang-á
弓中錘,king-tiong-tshuê,16,keng-tiong-chhôe
彎仔鋸,uan-á-kì,16,oan-á-kì
戮空的,lak-khang-ê,16,lak-khang-ê
扁鋏仔,pínn-giap-á,16,píⁿ-giap-á
手巾仔,tshiú-kin-á,16,chhiú-kin-á
手指圍,tshiú-tsí-uî,16,chhiú-chí-ûi
手指條,tshiú-tsí-tiâu,16,chhiú-chí-tiâu
手指通,tshiú-tsí-thong,16,chhiú-chí-thong
手搖鈴,tshiú-iô-lîng,16,chhiú-iô-lêng
