tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
hōo-lān,後難,25,hō͘-lān,hoo7lan7,hoo7lan7,hoolan,hoolan,hl,hl
āu-bīn,後面,25,āu-bīn,au7bin7,au7bin7,aubin,aubin,ab,ab
āu-thâu,後頭,25,āu-thâu,au7thau5,au7thau5,authau,authau,at,at
āu-khí,後齒,25,āu-khí,au7khi2,au7khi2,aukhi,aukhi,ak,ak
āu-tshut,後齣,25,āu-chhut,au7tshut,au7chhut,autshut,auchhut,at,ac
āu-lîng,後龍,25,āu-lêng,au7ling5,au7leng5,auling,auleng,al,al
sû-gôo,徐吾,25,sû-gô͘,su5goo5,su5goo5,sugoo,sugoo,sg,sg
tôo-hîng,徒刑,25,tô͘-hêng,too5hing5,too5heng5,toohing,tooheng,th,th
tôo-lô,徒勞,25,tô͘-lô,too5lo5,too5lo5,toolo,toolo,tl,tl
tôo-tē,徒弟,25,tô͘-tē,too5te7,too5te7,toote,toote,tt,tt
suá-suá,徒徒,25,sóa-sóa,sua2sua2,soa2soa2,suasua,soasoa,ss,ss
tôo-pōo,徒步,25,tô͘-pō͘,too5poo7,too5poo7,toopoo,toopoo,tp,tp
tôo-jiân,徒然,25,tô͘-jiân,too5jian5,too5jian5,toojian,toojian,tj,tj
tôo-giân,徒言,25,tô͘-giân,too5gian5,too5gian5,toogian,toogian,tg,tg
tôo-huì,徒費,25,tô͘-hùi,too5hui3,too5hui3,toohui,toohui,th,th
tôo-luī,徒類,25,tô͘-lūi,too5lui7,too5lui7,toolui,toolui,tl,tl
