tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
khǹg,囥,1062,khǹg,khng3,khng3,ㄎㆭ˪,khng,khng,ㄎㆭ,,,,True,False
thiam,添,967,thiam,thiam1,thiam1,ㄊㄧㆰ,thiam,thiam,ㄊㄧㆰ,,,,True,False
tshē,坐,939,chhē,tshe7,chhe7,ㄘㆤ˫,tshe,chhe,ㄘㆤ,,,,True,False
huann-hí,歡喜,859,hoaⁿ-hí,huann1hi2,hoann1hi2,ㄏㄨㆩㄏㄧˋ,huannhi,hoannhi,ㄏㄨㆩㄏㄧ,hh,hh,ㄏㄏ,True,False
siáu,痟,850,siáu,siau2,siau2,ㄒㄧㄠˋ,siau,siau,ㄒㄧㄠ,,,,True,False
tàu,到,825,tàu,tau3,tau3,ㄉㄠ˪,tau,tau,ㄉㄠ,,,,True,False
io̍k,欲,814,io̍k,iok8,iok8,ㄧㆦㆻ̇,iok,iok,ㄧㆦㆻ,,,,True,False
tsū,聚,804,chū,tsu7,chu7,ㄗㄨ˫,tsu,chu,ㄗㄨ,,,,True,False
sńg,耍,779,sńg,sng2,sng2,ㄙㆭˋ,sng,sng,ㄙㆭ,,,,True,False
lak,落,767,lak,lak4,lak4,ㄌㄚㆻ,lak,lak,ㄌㄚㆻ,,,,True,False
jî,而,757,jî,ji5,ji5,ㆢㄧˊ,ji,ji,ㆢㄧ,,,,True,False
lî,而,757,lî,li5,li5,ㄌㄧˊ,li,li,ㄌㄧ,,,,True,False
ping,冰,750,peng,ping1,peng1,ㄅㄧㄥ,ping,peng,ㄅㄧㄥ,,,,True,False
bū,霧,750,bū,bu7,bu7,ㆠㄨ˫,bu,bu,ㆠㄨ,,,,True,False
sim-kuann,心肝,732,sim-koaⁿ,sim1kuann1,sim1koann1,ㄒㄧㆬㄍㄨㆩ,simkuann,simkoann,ㄒㄧㆬㄍㄨㆩ,sk,sk,ㄒㄍ,True,False
gíng,研,729,géng,ging2,geng2,ㆣㄧㄥˋ,ging,geng,ㆣㄧㄥ,,,,True,False
lâu,劉,722,lâu,lau5,lau5,ㄌㄠˊ,lau,lau,ㄌㄠ,,,,True,False
sim-lāi,心內,702,sim-lāi,sim1lai7,sim1lai7,ㄒㄧㆬㄌㄞ˫,simlai,simlai,ㄒㄧㆬㄌㄞ,sl,sl,ㄒㄌ,True,False
mài,莫,688,mài,mai3,mai3,ㄇㄞ˪,mai,mai,ㄇㄞ,,,,True,False
bōng,墓,650,bōng,bong7,bong7,ㆠㆲ˫,bong,bong,ㆠㆲ,,,,True,False
tshap,插,650,chhap,tshap4,chhap4,ㄘㄚㆴ,tshap,chhap,ㄘㄚㆴ,,,,True,False
gán,眼,650,gán,gan2,gan2,ㆣㄢˋ,gan,gan,ㆣㄢ,,,,True,False
pōng,磅,650,pōng,pong7,pong7,ㄅㆲ˫,pong,pong,ㄅㆲ,,,,True,False
