tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
ah-tang-tê,ah-tang-tê,押冬茶,ah-tang-te,ah-tang-te,3,taijit
ah-tê-tsháu,ah-tê-chháu,鴨蹄草,ah-te-tshau,ah-te-chhau,3,taijit
ah-tê-sué,ah-tê-sóe,鴨蹄黍,ah-te-sue,ah-te-soe,3,taijit
ah-thâu-tsiúnn,ah-thâu-chiúⁿ,押頭槳,ah-thau-tsiunn,ah-thau-chiuⁿ,3,taijit
ah-thôo-tsu,ah-thô͘-chu,鴨土珠,ah-thoo-tsu,ah-tho͘-chu,3,taijit
ah-thûn-á,ah-thûn-á,鴨豚仔,ah-thun-a,ah-thun-a,3,taijit
ah-tuā,ah-tōa,押舵,ah-tua,ah-toa,2,taijit
ah-tui,ah-tui,押追,ah-tui,ah-tui,2,taijit
a-hû-iông,a-hû-iông,阿芙蓉,a-hu-iong,a-hu-iong,3,taijit
ah-ūn,ah-ūn,押韻,ah-un,ah-un,2,taijit
ah-ūn,ah-ūn,押運,ah-un,ah-un,2,taijit
ah-ut,ah-ut,押屈,ah-ut,ah-ut,2,taijit
ai,ai,哎,ai,ai,1,taijit
ai,ai,哀,ai,ai,1,taijit
ai,ai,ai,ai,ai,1,taijit
ái,ái,藹,ai,ai,1,taijit
ái,ái,餲,ai,ai,1,taijit
ái-bū,ái-bū,靄霧,ai-bu,ai-bu,2,taijit
ái-tái-bī,ái-tái-bī,餲滓味,ai-tai-bi,ai-tai-bi,3,taijit
ái-tái-tinn,ái-tái-tiⁿ,餲滓甜,ai-tai-tinn,ai-tai-tiⁿ,3,taijit
ài,ài,愛,ai,ai,1,taijit
ài,ài,隘,ai,ai,1,taijit
ài-beh,ài-beh,愛欲,ai-beh,ai-beh,2,taijit
ài-but-but,ài-but-but,愛吻吻,ai-but-but,ai-but-but,3,taijit
ài-tsâi,ài-châi,愛財,ai-tsai,ai-chai,2,taijit
ài-tsáu,ài-cháu,愛走,ai-tsau,ai-chau,2,taijit
ài-tsîng,ài-chêng,愛情,ai-tsing,ai-cheng,2,taijit
ài-tshia̍k,ài-chhia̍k,愛雀,ai-tshiak,ai-chhiak,2,taijit
ài-tshiap,ài-chhiap,愛妾,ai-tshiap,ai-chhiap,2,taijit
ài-tshiò,ài-chhiò,愛笑,ai-tshio,ai-chhio,2,taijit
ài-tsia̍h,ài-chia̍h,愛食,ai-tsiah,ai-chiah,2,taijit
ài-tsuè,ài-chòe,愛做,ai-tsue,ai-choe,2,taijit
ài-gio̍k-tsí,ài-gio̍k-chí,愛玉籽,ai-giok-tsi,ai-giok-chi,3,taijit
ài-háu,ài-háu,愛哮,ai-hau,ai-hau,2,taijit
ài-háu-sîn,ài-háu-sîn,愛哮神,ai-hau-sin,ai-hau-sin,3,taijit
ài-hue,ài-hoe,愛花,ai-hue,ai-hoe,2,taijit
ài-iō,ài-iō,噯喲,ai-io,ai-io,2,taijit
ài-ióng,ài-ióng,隘勇,ai-iong,ai-iong,2,taijit
ài-ióng-iânn,ài-ióng-iâⁿ,隘勇營,ai-iong-iann,ai-iong-iaⁿ,3,taijit
ài-ióng-liâu,ài-ióng-liâu,隘勇寮,ai-iong-liau,ai-iong-liau,3,taijit
ài-ióng-suànn,ài-ióng-sòaⁿ,隘勇線,ai-iong-suann,ai-iong-soaⁿ,3,taijit
ài-khai,ài-khai,愛開,ai-khai,ai-khai,2,taijit
ài-kháu,ài-kháu,隘口,ai-khau,ai-khau,2,taijit
ài-khàu,ài-khàu,愛哭,ai-khau,ai-khau,2,taijit
ài-khàu-phe,ài-khàu-phe,愛哭胚,ai-khau-phe,ai-khau-phe,3,taijit
ài-khing,ài-kheng,愛卿,ai-khing,ai-kheng,2,taijit
ài-khû,ài-khû,愛蹲,ai-khu,ai-khu,2,taijit
ài-khùn,ài-khùn,愛睏,ai-khun,ai-khun,2,taijit
ài-khùn-io̍h,ài-khùn-io̍h,愛睏藥,ai-khun-ioh,ai-khun-ioh,3,taijit
ài-khùn-khuán,ài-khùn-khoán,愛睏款,ai-khun-khuan,ai-khun-khoan,3,taijit
ài-khùn-kuí,ài-khùn-kúi,愛睏鬼,ai-khun-kui,ai-khun-kui,3,taijit
ài-kî,ài-kî,愛奇,ai-ki,ai-ki,2,taijit
ài-kiau,ài-kiau,愛嬌,ai-kiau,ai-kiau,2,taijit
ài-kok,ài-kok,愛國,ai-kok,ai-kok,2,taijit
ài-kok-tsiam,ài-kok-chiam,愛國針,ai-kok-tsiam,ai-kok-chiam,3,taijit
ài-kok-khuân,ài-kok-khoân,愛國環,ai-kok-khuan,ai-kok-khoan,3,taijit
ài-kok-thâu,ài-kok-thâu,愛國頭,ai-kok-thau,ai-kok-thau,3,taijit
ài-kòo,ài-kò͘,愛顧,ai-koo,ai-ko͘,2,taijit
