hanzi,tl
躼跤仔,liò-kha-á
𠯗,si̍p
𠯗一下,si̍p--tsi̍t-ē
𨂿,uaih
𨂿著,uaih-tio̍h
䖙,thenn
䖙椅,thenn-í
𨑨迌,thit-thô
𨑨迌人,thit-thô-lâng
𨑨迌囡仔,thit-thô gín-á
𨑨迌物,thit-thô-mi̍h/thit-thô-mn̍gh
𨑨迌物仔,thit-thô-mih-á
𢪱,but
塌,thap
肥朒朒,puî-lut-lut
枷車藤,ka-tshia-tîn
交仗,kau-tiāng
字姓,gī-sènn
相𤆬,sann-tshuā
相罵本,sann-mā-pún
個外月,kóo-guā-gue̍h/kóo-guā-ge̍h
高長,ko-tshiâng
帶身人,tuà-sin-lâng
晚冬,buán-tang
塗糜,thôo-muâi
搝票,giú-phiò
會記得,ē-kì--tsit
會記得,ē-kì--lit
會記得,ē-kì--lih
會記得,ē-kì--eh
